Time	Subsystem	Information
1850-01-01 AM	Institution	Institution: ConstructionCompany
Owner: government Thatcher
Location: (0,0)
	
1850-01-01 AM	actions	fanya Northrup and aurlie Northrup Talk at (x = 68, y = 75), 4:54:56 PM	
1850-01-01 AM	actions	fanya Northrup and aurlie Northrup Heard at (x = 68, y = 75), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and fanya Northrup Heard at (x = 68, y = 75), 4:54:56 PM	
1850-01-01 AM	actions	fanya Northrup and aurlie Northrup Talk at (x = 79, y = 87), 4:54:56 PM	
1850-01-01 AM	actions	fanya Northrup and aurlie Northrup Heard at (x = 79, y = 87), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and fanya Northrup Heard at (x = 79, y = 87), 4:54:56 PM	
1850-01-01 AM	actions	fanya Northrup and aurlie Northrup Death at (x = 94, y = 21), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and aurlie Northrup InstitutionHiring at (x = 41, y = 2), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and Eve Coley ConstructInstitution at (x = 40, y = 94), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and aurlie Northrup Heard at (x = 62, y = 7), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and Eve Coley Talk at (x = 24, y = 58), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and Eve Coley Heard at (x = 24, y = 58), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and Eve Coley Heard at (x = 24, y = 58), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and Eve Coley Talk at (x = 94, y = 31), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and Eve Coley Heard at (x = 94, y = 31), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and aurlie Northrup Heard at (x = 94, y = 31), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and aurlie Northrup Talk at (x = 98, y = 55), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and aurlie Northrup Heard at (x = 98, y = 55), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and aurlie Northrup Heard at (x = 98, y = 55), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and Eve Coley Talk at (x = 83, y = 49), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and Eve Coley Heard at (x = 83, y = 49), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and Eve Coley Heard at (x = 83, y = 49), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and aurlie Northrup InstitutionHiring at (x = 64, y = 41), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and aurlie Northrup GenerateInstitution at (x = 35, y = 36), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and Eve Coley Talk at (x = 70, y = 1), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and Eve Coley Heard at (x = 70, y = 1), 4:54:56 PM	
